scenario,worker_concurrency,repetition,contexte,id,statut,secondes,appels_llm,outils_executes,llm_ms_total,outil_ms_total,autre_ms
sales-30,0,1,a_vide,q01,final,5.743,2,1,5580,136,27
sales-30,0,1,a_vide,q02,final,1.98,2,1,1930,17,33
sales-30,0,1,a_vide,q03,final,2.149,2,1,2102,15,32
sales-30,0,1,a_vide,q04,final,2.35,2,1,2310,16,24
sales-30,0,1,a_vide,q05,final,1.92,2,1,1874,16,30
sales-30,0,1,a_vide,q06,final,2.286,2,1,2233,18,35
sales-30,0,1,a_vide,q07,final,2.383,2,1,2345,3,35
sales-30,0,1,a_vide,q08,final,3.044,2,1,3002,6,36
sales-30,0,1,a_vide,q09,final,2.255,2,1,2208,14,33
sales-30,0,1,a_vide,q10,final,3.372,3,2,3314,27,31
sales-30,0,1,a_vide,q11,final,2.817,2,1,2787,5,25
sales-30,0,1,a_vide,q12,final,2.233,2,1,2200,12,21
sales-30,0,1,a_vide,q13,final,2.584,2,1,2548,4,32
sales-30,0,1,a_vide,q14,final,1.98,2,1,1928,17,35
sales-30,0,1,a_vide,q15,final,2.232,2,1,2185,15,32
sales-30,0,1,a_vide,q16,final,2.799,2,1,2759,2,38
sales-30,0,1,a_vide,q17,final,2.722,2,1,2661,22,39
sales-30,0,1,a_vide,q18,final,1.738,2,1,1693,16,29
sales-30,0,1,a_vide,q19,final,2.425,2,0,2387,0,38
sales-30,0,1,a_vide,q20,final,3.937,2,1,3867,8,62
sales-30,0,1,a_vide,q21,final,2.861,2,1,2826,1,34
sales-30,0,1,a_vide,q22,final,2.007,2,1,1974,6,27
sales-30,0,1,a_vide,q23,final,2.471,2,1,2419,18,34
sales-30,0,1,a_vide,q24,final,4.721,2,1,4684,6,31
sales-30,0,1,a_vide,q25,final,3.036,2,1,2997,5,34
sales-30,0,1,a_vide,q26,final,2.722,2,1,2663,20,39
sales-30,0,1,a_vide,q27,final,1.779,2,1,1730,17,32
sales-30,0,1,a_vide,q28,final,2.392,2,1,2342,16,34
sales-30,0,1,a_vide,q29,final,3.031,3,2,2968,26,37
sales-30,0,1,a_vide,q30,final,3.783,2,2,3721,25,37
mixed,8,1,a_vide,q01,final,2.762,2,1,2714,9,39
mixed,8,1,a_vide,q02,final,2.248,2,1,2197,6,45
mixed,8,1,a_vide,q03,final,2.121,2,1,2064,17,40
mixed,8,1,a_vide,q04,final,2.053,2,1,2002,18,33
mixed,8,1,a_vide,q05,final,2.157,2,1,2126,12,19
mixed,8,1,a_vide,q06,final,3.267,2,1,3233,13,21
mixed,8,1,a_vide,q07,final,2.122,2,1,2087,4,31
mixed,8,1,a_vide,q08,final,3.345,2,1,3303,6,36
mixed,8,1,a_vide,q09,final,1.901,2,1,1856,13,32
mixed,8,1,a_vide,q10,final,2.697,3,2,2616,44,37
mixed,8,1,a_vide,q11,final,3.239,2,1,3191,10,38
mixed,8,1,a_vide,q12,final,3.318,2,1,3255,22,41
mixed,8,1,a_vide,q13,final,2.181,2,1,2143,6,32
mixed,8,1,a_vide,q14,final,1.597,2,1,1561,11,25
mixed,8,1,a_vide,q15,final,2.605,2,1,2564,11,30
mixed,8,1,a_vide,q16,final,2.778,2,1,2742,4,32
mixed,8,1,a_vide,q17,final,2.548,2,1,2504,18,26
mixed,8,1,a_vide,q18,final,1.748,2,1,1705,20,23
mixed,8,1,a_vide,q19,final,1.857,2,0,1827,0,30
mixed,8,1,a_vide,q20,final,5.07,2,1,5042,5,23
mixed,8,1,a_vide,q21,final,3.055,2,1,3019,5,31
mixed,8,1,a_vide,q22,final,3.018,2,1,2976,18,24
mixed,8,1,a_vide,q23,final,1.99,2,1,1955,10,25
mixed,8,1,a_vide,q24,final,3.051,2,1,3004,5,42
mixed,8,1,a_vide,q25,final,3.208,2,1,3175,4,29
mixed,8,1,a_vide,q26,final,1.907,2,1,1866,18,23
mixed,8,1,a_vide,q27,final,2.113,2,1,2074,12,27
mixed,8,1,a_vide,q28,final,2.132,2,1,2095,13,24
mixed,8,1,a_vide,q29,final,3.22,3,2,3163,19,38
mixed,8,1,a_vide,q30,final,5.116,2,2,5061,15,40
mixed,8,1,sous_charge,q01,final,3.315,2,1,3272,7,36
mixed,8,1,sous_charge,q02,final,1.89,2,1,1786,2,102
mixed,8,1,sous_charge,q03,final,1.748,2,1,1702,13,33
mixed,8,1,sous_charge,q04,final,2.708,2,1,2650,22,36
mixed,8,1,sous_charge,q05,final,1.764,2,1,1721,13,30
mixed,8,1,sous_charge,q06,final,2.335,2,1,2293,14,28
mixed,8,1,sous_charge,q07,final,1.921,2,1,1883,8,30
mixed,8,1,sous_charge,q08,final,2.699,2,1,2660,5,34
mixed,8,1,sous_charge,q09,final,2.005,2,1,1957,20,28
mixed,8,1,sous_charge,q10,final,1.649,2,1,1595,19,35
mixed,8,1,sous_charge,q11,final,2.618,2,1,2589,5,24
mixed,8,1,sous_charge,q12,final,2.43,2,1,2343,49,38
mixed,8,1,sous_charge,q13,final,2.045,2,1,2011,6,28
mixed,8,1,sous_charge,q14,final,1.945,2,1,1903,19,23
mixed,8,1,sous_charge,q15,final,2.316,2,1,2272,17,27
mixed,8,1,sous_charge,q16,final,3.719,2,1,3676,6,37
mixed,8,1,sous_charge,q17,final,1.809,2,1,1751,15,43
mixed,8,1,sous_charge,q18,final,2.46,2,1,2405,22,33
mixed,8,1,sous_charge,q19,final,1.776,2,0,1756,0,20
mixed,8,1,sous_charge,q20,final,3.261,2,1,3232,4,25
mixed,8,1,sous_charge,q21,final,3.156,2,1,3126,3,27
mixed,8,1,sous_charge,q22,final,2.075,2,1,1981,60,34
mixed,8,1,sous_charge,q23,final,2.22,2,1,2168,16,36
mixed,8,1,sous_charge,q24,final,4.275,2,1,4239,4,32
mixed,8,1,sous_charge,q25,final,2.662,2,1,2633,3,26
mixed,8,1,sous_charge,q26,final,1.968,2,1,1875,16,77
mixed,8,1,sous_charge,q27,final,3.051,2,1,3005,9,37
mixed,8,1,sous_charge,q28,final,1.774,2,1,1729,12,33
mixed,8,1,sous_charge,q29,final,1.797,2,1,1763,3,31
mixed,8,1,sous_charge,q30,final,3.089,2,2,3045,24,20
