scenario,worker_concurrency,repetition,contexte,id,statut,secondes,appels_llm,outils_executes,llm_ms_total,outil_ms_total,autre_ms
mixed,8,1,a_vide,q01,final,5.353,2,1,5159,159,35
mixed,8,1,a_vide,q02,final,2.48,2,1,2436,19,25
mixed,8,1,a_vide,q03,final,3.65,2,1,3599,20,31
mixed,8,1,a_vide,q04,final,2.11,2,1,2078,9,23
mixed,8,1,a_vide,q05,final,2.423,2,1,2383,18,22
mixed,8,1,a_vide,q06,final,2.3,2,1,2253,26,21
mixed,8,1,a_vide,q07,final,2.3,2,1,2269,4,27
mixed,8,1,a_vide,q08,final,2.563,2,1,2523,6,34
mixed,8,1,a_vide,q09,final,1.779,2,1,1719,30,30
mixed,8,1,a_vide,q10,final,3.138,3,2,3074,28,36
mixed,8,1,a_vide,q11,final,2.748,2,1,2713,3,32
mixed,8,1,a_vide,q12,final,2.116,2,1,2033,50,33
mixed,8,1,a_vide,q13,final,2.05,2,1,2011,3,36
mixed,8,1,a_vide,q14,final,1.924,2,1,1857,21,46
mixed,8,1,a_vide,q15,final,1.82,2,1,1774,18,28
mixed,8,1,a_vide,q16,final,3.488,2,1,3464,3,21
mixed,8,1,a_vide,q17,final,2.498,2,1,2460,11,27
mixed,8,1,a_vide,q18,final,1.964,2,1,1909,14,41
mixed,8,1,a_vide,q19,final,1.967,2,0,1936,0,31
mixed,8,1,a_vide,q20,final,3.69,2,1,3650,7,33
mixed,8,1,a_vide,q21,final,2.929,2,1,2905,4,20
mixed,8,1,a_vide,q22,final,2.091,2,1,2061,7,23
mixed,8,1,a_vide,q23,final,2.42,2,1,2377,17,26
mixed,8,1,a_vide,q24,final,2.844,2,1,2809,6,29
mixed,8,1,a_vide,q25,final,3.305,2,1,3266,5,34
mixed,8,1,a_vide,q26,final,2.003,2,1,1947,14,42
mixed,8,1,a_vide,q27,final,1.815,2,1,1754,26,35
mixed,8,1,a_vide,q28,final,2.267,2,1,2232,14,21
mixed,8,1,a_vide,q29,final,3.682,3,2,3625,22,35
mixed,8,1,a_vide,q30,final,2.627,2,2,2553,37,37
mixed,8,1,sous_charge,q01,final,2.379,2,1,2335,11,33
mixed,8,1,sous_charge,q02,final,1.622,2,1,1593,3,26
mixed,8,1,sous_charge,q03,final,1.671,2,1,1616,20,35
mixed,8,1,sous_charge,q04,final,1.717,2,1,1677,17,23
mixed,8,1,sous_charge,q05,final,2.925,2,1,2786,109,30
mixed,8,1,sous_charge,q06,final,2.675,2,1,2620,19,36
mixed,8,1,sous_charge,q07,final,1.972,2,1,1929,6,37
mixed,8,1,sous_charge,q08,final,3.474,2,1,3440,3,31
mixed,8,1,sous_charge,q09,final,1.912,2,1,1862,10,40
mixed,8,1,sous_charge,q10,final,1.832,2,1,1790,12,30
mixed,8,1,sous_charge,q11,final,3.695,2,1,3661,4,30
mixed,8,1,sous_charge,q12,final,1.876,2,1,1828,12,36
mixed,8,1,sous_charge,q13,final,2.555,2,1,2530,3,22
mixed,8,1,sous_charge,q14,final,1.72,2,1,1680,18,22
mixed,8,1,sous_charge,q15,final,2.619,2,1,2572,20,27
mixed,8,1,sous_charge,q16,final,2.547,2,1,2512,4,31
mixed,8,1,sous_charge,q17,final,2.836,2,1,2775,18,43
mixed,8,1,sous_charge,q18,final,2.205,2,1,2158,20,27
mixed,8,1,sous_charge,q19,final,2.32,2,0,2290,0,30
mixed,8,1,sous_charge,q20,final,3.492,2,1,3461,7,24
mixed,8,1,sous_charge,q21,final,3.162,2,1,3117,3,42
mixed,8,1,sous_charge,q22,final,3.277,2,1,3185,18,74
mixed,8,1,sous_charge,q23,final,2.309,2,1,2264,20,25
mixed,8,1,sous_charge,q24,final,2.077,2,1,2047,5,25
mixed,8,1,sous_charge,q25,final,2.589,2,1,2559,4,26
mixed,8,1,sous_charge,q26,final,2.699,2,1,2664,12,23
mixed,8,1,sous_charge,q27,final,2.034,2,1,2000,8,25
mixed,8,1,sous_charge,q28,final,2.479,2,1,2451,10,18
mixed,8,1,sous_charge,q29,final,1.941,2,1,1914,2,25
mixed,8,1,sous_charge,q30,final,4.707,2,2,4649,26,32
